left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20,label
0.2223304957151413,0.47211578488349915,2.898079856095137e-07,0.26124611496925354,0.5045497417449951,-0.016609834507107735,0.30160966515541077,0.510360598564148,-0.02069290727376938,0.3337076008319855,0.4952317476272583,-0.023673685267567635,0.3589746654033661,0.4930087924003601,-0.026496432721614838,0.31746870279312134,0.42236021161079407,-0.003489722264930606,0.3540145754814148,0.403454065322876,-0.011979923583567142,0.375954270362854,0.38715454936027527,-0.02070266753435135,0.3943827450275421,0.37114962935447693,-0.027214359492063522,0.3070546090602875,0.3907416760921478,-0.0020986003801226616,0.343248188495636,0.3585961163043976,-0.009689316153526306,0.36551952362060547,0.33450374007225037,-0.01884664222598076,0.38380420207977295,0.3135448396205902,-0.025607561692595482,0.2911534905433655,0.36781829595565796,-0.003553173039108515,0.3221733272075653,0.3321661353111267,-0.01302354782819748,0.3420965075492859,0.30944767594337463,-0.020981019362807274,0.359296053647995,0.2910601496696472,-0.025984862819314003,0.2693799138069153,0.3482968807220459,-0.006719465367496014,0.2915923595428467,0.31586647033691406,-0.016064012423157692,0.30680134892463684,0.29613232612609863,-0.02084425464272499,0.3220849931240082,0.27799826860427856,-0.023577958345413208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello
0.22186949849128723,0.48489910364151,2.758382890988287e-07,0.26039212942123413,0.5139841437339783,-0.01694582961499691,0.30055326223373413,0.5153488516807556,-0.021073773503303528,0.3320144712924957,0.4956943690776825,-0.02393505908548832,0.3575649857521057,0.4916219711303711,-0.02652483619749546,0.31541314721107483,0.42776137590408325,-0.004018245730549097,0.35130733251571655,0.40738382935523987,-0.012075461447238922,0.37226682901382446,0.3900376260280609,-0.020228872075676918,0.38993412256240845,0.37310341000556946,-0.02641187608242035,0.3037519156932831,0.39580389857292175,-0.0022832145914435387,0.338620662689209,0.36169853806495667,-0.00958036258816719,0.3598862886428833,0.3363361358642578,-0.01809883676469326,0.37705570459365845,0.3142526149749756,-0.024450641125440598,0.2870980203151703,0.3734303414821625,-0.003410359611734748,0.3174886405467987,0.33599305152893066,-0.01272584218531847,0.33599355816841125,0.31254708766937256,-0.02017395943403244,0.3516407012939453,0.2933947741985321,-0.024864310398697853,0.2653007507324219,0.3550490736961365,-0.006281610578298569,0.28690120577812195,0.32177603244781494,-0.01563851907849312,0.3014533817768097,0.3016042709350586,-0.020402370020747185,0.3158951997756958,0.2834323048591614,-0.023132143542170525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello
0.22033777832984924,0.4817826449871063,2.841174762124865e-07,0.25841572880744934,0.5119785666465759,-0.017032116651535034,0.2988976836204529,0.5137494802474976,-0.02120811492204666,0.33071020245552063,0.4950639009475708,-0.02408956177532673,0.35585805773735046,0.4911194443702698,-0.026808597147464752,0.31362324953079224,0.4271908402442932,-0.004375515040010214,0.3490172326564789,0.40584608912467957,-0.012562310323119164,0.3700041174888611,0.38780149817466736,-0.020864566788077354,0.38742029666900635,0.3704115152359009,-0.027163663879036903,0.30241361260414124,0.39603346586227417,-0.0027561162132769823,0.3375582695007324,0.36200451850891113,-0.010234000161290169,0.3589281737804413,0.3369196057319641,-0.019074013456702232,0.3764429986476898,0.3150692582130432,-0.025636570528149605,0.2859049439430237,0.37405723333358765,-0.0039647663943469524,0.3155367374420166,0.33616212010383606,-0.013395656831562519,0.334684818983078,0.31234994530677795,-0.021331969648599625,0.3514074683189392,0.29313838481903076,-0.02640393190085888,0.2636830806732178,0.3559620678424835,-0.006893777288496494,0.28479745984077454,0.3221534192562103,-0.016330011188983917,0.2993376851081848,0.301510751247406,-0.021281445398926735,0.314166784286499,0.28252720832824707,-0.024234134703874588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello
0.21879242360591888,0.4815903902053833,2.878711597986694e-07,0.2577774226665497,0.5114630460739136,-0.016791490837931633,0.29880210757255554,0.51298987865448,-0.02049890160560608,0.33047738671302795,0.49378854036331177,-0.022923992946743965,0.35546937584877014,0.4882569909095764,-0.02512665092945099,0.3123472332954407,0.42607420682907104,-0.0030059688724577427,0.34764447808265686,0.4045603573322296,-0.010777775198221207,0.3687330186367035,0.38731473684310913,-0.01902814209461212,0.386412113904953,0.37065109610557556,-0.025271335616707802,0.3009470999240875,0.39449942111968994,-0.0013091058935970068,0.3355490267276764,0.3593862056732178,-0.008234569802880287,0.3569614589214325,0.33407101035118103,-0.01704178936779499,0.37434619665145874,0.31240546703338623,-0.023609619587659836,0.2844293415546417,0.3720630705356598,-0.002499947790056467,0.3142372667789459,0.33431556820869446,-0.01146910060197115,0.3336060345172882,0.3107960820198059,-0.0193258598446846,0.3501991927623749,0.2918003797531128,-0.024340488016605377,0.2622357904911041,0.3532590866088867,-0.005426239687949419,0.2835516333580017,0.3192175030708313,-0.014490115456283092,0.2981467843055725,0.2988198697566986,-0.019267838448286057,0.3129725158214569,0.28028589487075806,-0.022071843966841698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello
0.21837064623832703,0.48190027475357056,2.8574294219652074e-07,0.25688570737838745,0.5099231004714966,-0.016558581963181496,0.29804858565330505,0.5107176303863525,-0.020634721964597702,0.3295266628265381,0.49159395694732666,-0.02341441996395588,0.3543756604194641,0.4847375154495239,-0.0259740948677063,0.3109082877635956,0.423854798078537,-0.005065391771495342,0.34660854935646057,0.4017670154571533,-0.01361079327762127,0.36783528327941895,0.3841819167137146,-0.02192740887403488,0.38547924160957336,0.36743539571762085,-0.02804681845009327,0.29922300577163696,0.39195647835731506,-0.0036828946322202682,0.3339183032512665,0.35556715726852417,-0.011359659023582935,0.35546886920928955,0.3300815224647522,-0.02001716010272503,0.3729659914970398,0.3082297146320343,-0.02633250318467617,0.2824975252151489,0.3698174059391022,-0.005016684532165527,0.31195688247680664,0.33084988594055176,-0.014420131221413612,0.33142077922821045,0.3071160614490509,-0.021986031904816628,0.34820693731307983,0.28780996799468994,-0.026731237769126892,0.26018890738487244,0.3518931567668915,-0.008019428700208664,0.28121432662010193,0.31711259484291077,-0.017415005713701248,0.295745849609375,0.2962072491645813,-0.022080717608332634,0.31039750576019287,0.27717506885528564,-0.0246842410415411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello
0.21693739295005798,0.48187440633773804,3.0153418606460036e-07,0.25587356090545654,0.5099268555641174,-0.017314516007900238,0.2974301874637604,0.5097582340240479,-0.021501371636986732,0.3293731212615967,0.48975279927253723,-0.024237655103206635,0.3544241487979889,0.48257607221603394,-0.02669920027256012,0.30991894006729126,0.42294102907180786,-0.004707763437181711,0.3454974293708801,0.4001610279083252,-0.013126126490533352,0.3666967749595642,0.38166171312332153,-0.0215633325278759,0.38423752784729004,0.3639330267906189,-0.027782810851931572,0.29823508858680725,0.39132821559906006,-0.0028746239840984344,0.3335535526275635,0.35516518354415894,-0.010335966013371944,0.35553088784217834,0.32899215817451477,-0.019122246652841568,0.37351131439208984,0.3063127398490906,-0.02554164081811905,0.28133827447891235,0.3690759241580963,-0.00388330384157598,0.3111461400985718,0.32957541942596436,-0.013182159513235092,0.3304312229156494,0.3046983480453491,-0.020974040031433105,0.3470431864261627,0.28464287519454956,-0.025852560997009277,0.2587256133556366,0.35081717371940613,-0.006630772724747658,0.2797849774360657,0.3156832158565521,-0.01588420756161213,0.2940266728401184,0.2943589389324188,-0.020575379952788353,0.3085462152957916,0.2749478220939636,-0.023226303979754448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello
0.2159731686115265,0.48059791326522827,2.852768261618621e-07,0.2551816701889038,0.509854257106781,-0.01653667539358139,0.29685378074645996,0.5094488263130188,-0.02024819143116474,0.32882261276245117,0.4887582063674927,-0.022665567696094513,0.35380294919013977,0.481668621301651,-0.02490297518670559,0.3093140125274658,0.4222533106803894,-0.004235310945659876,0.34471243619918823,0.3990459740161896,-0.01244304608553648,0.3656173348426819,0.38041383028030396,-0.02065773867070675,0.3829578757286072,0.3628038167953491,-0.026778077706694603,0.29746001958847046,0.39044129848480225,-0.00273133278824389,0.33261293172836304,0.3536604940891266,-0.010139917954802513,0.3543190658092499,0.3275037407875061,-0.018842173740267754,0.3721466660499573,0.3048805892467499,-0.02522767335176468,0.2804716229438782,0.3683619797229767,-0.0039941901341080666,0.3099145293235779,0.3280746042728424,-0.013337815180420876,0.3291521370410919,0.3032124936580658,-0.021177424117922783,0.3458913266658783,0.28320199251174927,-0.02612210065126419,0.2577654719352722,0.35062116384506226,-0.006918220315128565,0.2787688970565796,0.31509900093078613,-0.01633073017001152,0.2930685579776764,0.29341065883636475,-0.021179350093007088,0.3076770007610321,0.273534893989563,-0.023974619805812836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello
0.2153925597667694,0.48259347677230835,2.8561916565195133e-07,0.25445127487182617,0.5106689929962158,-0.016744019463658333,0.2960320711135864,0.509636640548706,-0.02084334008395672,0.32789820432662964,0.48876291513442993,-0.02363256737589836,0.35289716720581055,0.48169761896133423,-0.026185112074017525,0.30849653482437134,0.4222560524940491,-0.004581178072839975,0.34380626678466797,0.39829421043395996,-0.01297325175255537,0.3646312355995178,0.3792680501937866,-0.02134101465344429,0.38192617893218994,0.3613060712814331,-0.027582135051488876,0.29641133546829224,0.3904462158679962,-0.003076462307944894,0.33105209469795227,0.3528936803340912,-0.010659199208021164,0.3525185286998749,0.326352059841156,-0.01948550157248974,0.37009263038635254,0.3035946488380432,-0.025986775755882263,0.27927300333976746,0.368133008480072,-0.004338402301073074,0.3087625205516815,0.327373206615448,-0.013718776404857635,0.3279348313808441,0.30274033546447754,-0.021455392241477966,0.3445139527320862,0.28299662470817566,-0.026373766362667084,0.25668439269065857,0.350143700838089,-0.007291520945727825,0.2776270806789398,0.31407058238983154,-0.01663575880229473,0.2919589579105377,0.29244479537010193,-0.021415114402770996,0.3065870404243469,0.27299559116363525,-0.02418327145278454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello
0.2145349532365799,0.4882199168205261,2.8825056119785586e-07,0.2535059452056885,0.5163313746452332,-0.017173685133457184,0.29483020305633545,0.5146048665046692,-0.021766027435660362,0.32644325494766235,0.492278516292572,-0.024922069162130356,0.3524050712585449,0.48485854268074036,-0.02784242108464241,0.30664390325546265,0.42490458488464355,-0.005955218803137541,0.3421199321746826,0.40125882625579834,-0.014743411913514137,0.3630389869213104,0.38284873962402344,-0.023091230541467667,0.3804011344909668,0.36533427238464355,-0.029286114498972893,0.29485371708869934,0.39291441440582275,-0.004438862204551697,0.3303338289260864,0.3558250665664673,-0.012409621849656105,0.351831316947937,0.3296307623386383,-0.0209603663533926,0.3694041669368744,0.30681970715522766,-0.0271858312189579,0.27778545022010803,0.3710850477218628,-0.005687051452696323,0.3075188100337982,0.3294820487499237,-0.015425718389451504,0.3264898955821991,0.3045545518398285,-0.022987252101302147,0.3432275950908661,0.2840951681137085,-0.027743468061089516,0.25500962138175964,0.3541625738143921,-0.008611953817307949,0.2760940194129944,0.3178126811981201,-0.018213963136076927,0.2906979024410248,0.29604703187942505,-0.022980667650699615,0.3056870996952057,0.2762233316898346,-0.025730807334184647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello
0.2136850655078888,0.490722119808197,2.882068486087519e-07,0.25392216444015503,0.5183142423629761,-0.016624469310045242,0.2949077785015106,0.5158584117889404,-0.0210553165525198,0.3263569176197052,0.4929218888282776,-0.024255434051156044,0.3522230386734009,0.4862808585166931,-0.02727341465651989,0.30621400475502014,0.4262615442276001,-0.004590433556586504,0.3415779173374176,0.4018996059894562,-0.013218970037996769,0.3621199429035187,0.38257449865341187,-0.021602243185043335,0.37902581691741943,0.364084929227829,-0.027823995798826218,0.2940337061882019,0.39466986060142517,-0.003332780674099922,0.3294845223426819,0.3569711446762085,-0.011244378052651882,0.3507893681526184,0.3303588330745697,-0.019892249256372452,0.3682468831539154,0.3070593476295471,-0.026133479550480843,0.27668818831443787,0.37307271361351013,-0.00487229460850358,0.3065795600414276,0.33133891224861145,-0.014626420103013515,0.3255175054073334,0.3059349060058594,-0.022234756499528885,0.3421552777290344,0.285245805978775,-0.02693052403628826,0.25361937284469604,0.356355756521225,-0.00805472768843174,0.2747213542461395,0.31977492570877075,-0.01761656254529953,0.2893295884132385,0.29767560958862305,-0.022327033802866936,0.304297536611557,0.27746421098709106,-0.024987075477838516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello
